STT,Category1Id,Category2Id,GroupedIssues,Lat,Lng,Desc,IssueImg,SpatialAspect ,SpatialAspectImg,Economic,EconomicImg,Society,SocietyImg,Communication,CommunicationImg,Governance/Policies,GovernanceImg
1,1,0,Dangerous intersections,10.78298198,106.6954964,"Two opposing traffic flows move at high speed, making it difficult to observe.",20250629_122401395_iOS.png,"Traffic calming tools, Changes in road and intersections color and texture",Changes in intersection design.png;changes in road and intersections color and texture.jpg;Paint and post intersection and road.jpg,,,,,Road mural arts,painting.jpg; Paint and post intersection and road 1.jpg,,
2,1,0,Dangerous intersections,10.7823297,106.6955711,"Vehicles move at high speed, making it difficult to observe; the corner is tight.",20250411_095853374_iOS.heic,"Traffic calming tools, Changes in road and intersections color and texture",Changes in intersection design.png;changes in road and intersections color and texture.jpg;Paint and post intersection and road.jpg,,,,,Road mural arts,painting.jpg; Paint and post intersection and road 1.jpg,,
3,1,0,Risk of traffic accidents,10.7830686,106.6959925,"Pedestrians crossing from the buildings to Turtle Lake must watch out for 3 lanes of traffic (often moving quickly) all in the same direction. Vehicles turning right from Trần Cao Vân Street into International Square face a tight corner, obstructed view by trash bins and parked cars. At night, limited lighting further reduces visibility for both pedestrians and drivers.",z6754714050995_6018bcf19150be05b14365e0cb0a937e.jpg,"Traffic calming tools, Changes in road and intersections color and texture. Raised Refuge Islands",Changes in intersection design.png;changes in road and intersections color and texture.jpg;Paint and post intersection and road.jpg;Reduce curb radious.jpg,,,,,Road mural arts,painting.jpg; Paint and post intersection and road 1.jpg,,
4,1,0,Risk of traffic accidents,10.7822905,106.6956135,"Traffic turning right from Công Trường Quốc Tế into Võ Văn Tần Street moves fast; the street width is 6-7 meters (two lanes), with a tight corner.",z6754733953528_a82cc438fbbf95a54a15efca5549d146.jpg,Changes in road and intersections color and texture to slowdơn the speed and raise the attention of drivers.,Changes in intersection design.png;changes in road and intersections color and texture.jpg;Paint and post intersection and road.jpg; ,,,,,Road mural arts,painting.jpg; Paint and post intersection and road 1.jpg,,
5,1,0,Risk of traffic accidents,10.7829814,106.6955775,"Two opposing flows: one from Phạm Ngọc Thạch, one from Công Trường Quốc Tế — both move fast.",20250629_122401395_iOS.png,Changes in road and intersections color and texture to slowdơn the speed and raise the attention of drivers,Changes in intersection design.png;changes in road and intersections color and texture.jpg;Paint and post intersection and road.jpg; ,,,,,Road mural arts,painting.jpg; Paint and post intersection and road 1.jpg,,
6,1,0,High vehicle density,10.78358394,106.6949188,"At the Nguyễn Đình Chiểu - Phạm Ngọc Thạch intersection, there are UEH University, banks, ATMs, convenience stores, printing shops, eateries, and a bus stop → traffic congestion often occurs in the morning and afternoon due to people commuting, buying food/coffee, banking, printing, and using the bus.",Picture4.png,"Speed management, enforcement zones",,,,traffic awareness campaigns,,,,,
7,1,0,High vehicle density,10.78385201,106.696971,"The Trần Cao Vân - Hai Bà Trưng intersection includes a preschool, gas station, offices/companies, coffee shops, and street food stalls → traffic congestion happens in the morning (commuters, students, gas fill-ups, dropping off kids) and in the afternoon (leaving work, grabbing snacks, picking up kids, etc.).",,"Speed management, enforcement zones",,,,traffic awareness campaigns,,,,,
8,1,0,High vehicle density,,,Phạm Ngọc Thạch Street within the study area experiences heavy traffic during rush hours.,z6754577505316_da8ce08d4d3cfa18a02166f8714088a8.jpg,"Speed management, enforcement zones",,,,traffic awareness campaigns,,,,,
9,1,0,High vehicle density,,,Võ Văn Tần Street within the study area also has high vehicle flow during rush hours.,z6754577505316_da8ce08d4d3cfa18a02166f8714088a8.jpg,"Speed management, enforcement zones",,,,traffic awareness campaigns,,,,,
10,1,0,Conflicts among road users,10.7831862,106.6952279,Driveway,z6658753236139_ee1f0b6e2541529d6f8eb5ab8f9b040e.jpg,"Continuous Sidewalk Design, Raised Driveway Crossings",speed humps.jpg; Continuous Sidewalk Designs.jpg,,, pedestrian priority,,,,,
